"OHD27LAS.Code.or.Value","OHD27LAS.Value.Description","OHD27LAS.Count","OHD27LAS.Cumulative","OHD27LAS.Skip.to.Item"
"0 to 11","Range of Values",1665,1665,NA
"99","Calculation cannot be determined",117,1782,NA
".","Missing",4976,6758,NA
