"DR2TSUGR.Code.or.Value","DR2TSUGR.Value.Description","DR2TSUGR.Count","DR2TSUGR.Cumulative","DR2TSUGR.Skip.to.Item"
"0 to 687.6","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
