"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"14.7 to 42.8","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
