"LBDPFBSL.Code.or.Value","LBDPFBSL.Value.Description","LBDPFBSL.Count","LBDPFBSL.Cumulative","LBDPFBSL.Skip.to.Item"
"0","At or above the detection limit",168,168,NA
"1","Below lower detection limit",1952,2120,NA
".","Missing",203,2323,NA
