"DXXRRBMC.Code.or.Value","DXXRRBMC.Value.Description","DXXRRBMC.Count","DXXRRBMC.Cumulative","DXXRRBMC.Skip.to.Item"
"13.22 to 220.91","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
