"DR1IZINC.Code.or.Value","DR1IZINC.Value.Description","DR1IZINC.Count","DR1IZINC.Cumulative","DR1IZINC.Skip.to.Item"
"0 to 187.81","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
