"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.03 to 4.72","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
