"DUQ310U.Code.or.Value","DUQ310U.Value.Description","DUQ310U.Count","DUQ310U.Cumulative","DUQ310U.Skip.to.Item"
"1","Days",7,7,NA
"2","Weeks",1,8,NA
"3","Months",9,17,NA
"4","Years",45,62,NA
"7","Refused",0,62,NA
"9","Don't know",0,62,NA
".","Missing",4781,4843,NA
