"URDPIMLC.Code.or.Value","URDPIMLC.Value.Description","URDPIMLC.Count","URDPIMLC.Cumulative","URDPIMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2455,2455,NA
".","Missing",301,2756,NA
