"DR1IFF.Code.or.Value","DR1IFF.Value.Description","DR1IFF.Count","DR1IFF.Cumulative","DR1IFF.Skip.to.Item"
"0 to 1182","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
