"URXTHF.Code.or.Value","URXTHF.Value.Description","URXTHF.Count","URXTHF.Cumulative","URXTHF.Skip.to.Item"
"0.057 to 0.057","Range of Values",2355,2355,NA
".","Missing",257,2612,NA
