"DRXTP184.Code.or.Value","DRXTP184.Value.Description","DRXTP184.Count","DRXTP184.Cumulative","DRXTP184.Skip.to.Item"
"0 to 0.75","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
