"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"1.2 to 4166","Range of Values",1926,1926,NA
".","Missing",7836,9762,NA
