"PAQ772b.Code.or.Value","PAQ772b.Value.Description","PAQ772b.Count","PAQ772b.Cumulative","PAQ772b.Skip.to.Item"
"2","President's Challenge",39,39,NA
".","Missing",9216,9255,NA
