"VIQ230.Code.or.Value","VIQ230.Value.Description","VIQ230.Count","VIQ230.Cumulative","VIQ230.Skip.to.Item"
"1","Yes",2238,2238,NA
"2","No",369,2607,NA
".","Missing",4151,6758,NA
