"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0 to 27.79","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
