"DS2DSCNT.Code.or.Value","DS2DSCNT.Value.Description","DS2DSCNT.Count","DS2DSCNT.Cumulative","DS2DSCNT.Skip.to.Item"
"0 to 17","Range of Values",8389,8389,NA
".","Missing",1864,10253,NA
