"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.2 to 21700","Range of Values",2517,2517,NA
".","Missing",95,2612,NA
