"LBXENDLA.Code.or.Value","LBXENDLA.Value.Description","LBXENDLA.Count","LBXENDLA.Cumulative","LBXENDLA.Skip.to.Item"
"0.4 to 14.9","Range of Values",2187,2187,NA
".","Missing",360,2547,NA
