"PFD069dQ.Code.or.Value","PFD069dQ.Value.Description","PFD069dQ.Count","PFD069dQ.Cumulative","PFD069dQ.Skip.to.Item"
"1 to 79","Range of Values",135,135,NA
"77777","Refused",0,135,NA
"99999","Don't know",0,135,NA
".","Missing",9358,9493,NA
