"DR2_320.Code.or.Value","DR2_320.Value.Description","DR2_320.Count","DR2_320.Cumulative","DR2_320.Skip.to.Item"
"0 to 11366.4","Range of Values",8364,8364,NA
".","Missing",1279,9643,NA
