"URXECP.Code.or.Value","URXECP.Value.Description","URXECP.Count","URXECP.Cumulative","URXECP.Skip.to.Item"
"0.2 to 2886.9","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
