"OSQ120g.Code.or.Value","OSQ120g.Value.Description","OSQ120g.Count","OSQ120g.Cumulative","OSQ120g.Skip.to.Item"
"1","Yes",6,6,""
"2","No",3,9,"OSQ060"
"7","Refused",0,9,"OSQ060"
"9","Don't know",0,9,"OSQ060"
".","Missing",5926,5935,""
