"DS1INIAC.Code.or.Value","DS1INIAC.Value.Description","DS1INIAC.Count","DS1INIAC.Cumulative","DS1INIAC.Skip.to.Item"
"0.303 to 1500","Range of Values",1472,1472,NA
".","Missing",4222,5694,NA
