"LBDRFO.Code.or.Value","LBDRFO.Value.Description","LBDRFO.Count","LBDRFO.Cumulative","LBDRFO.Skip.to.Item"
"66.2 to 2420","Range of Values",7867,7867,NA
".","Missing",1089,8956,NA
