"CIQP13D.Code.or.Value","CIQP13D.Value.Description","CIQP13D.Count","CIQP13D.Cumulative","CIQP13D.Skip.to.Item"
"1","Yes",39,39,NA
"2","No",54,93,NA
"7","Refused",0,93,NA
"9","Don't know",6,99,NA
".","Missing",679,778,NA
