"DR2ILINE.Code.or.Value","DR2ILINE.Value.Description","DR2ILINE.Count","DR2ILINE.Cumulative","DR2ILINE.Skip.to.Item"
"1 to 57","Range of Values",121341,121341,NA
".","Missing",0,121341,NA
