"LBXPT21.Code.or.Value","LBXPT21.Value.Description","LBXPT21.Count","LBXPT21.Cumulative","LBXPT21.Skip.to.Item"
"9 to 1491","Range of Values",7334,7334,NA
"6","Below Limit of Detection",10,7344,NA
".","Missing",1835,9179,NA
