"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"29.4 to 38.3","Range of Values",7982,7982,NA
".","Missing",850,8832,NA
