"LBXVD2MS.Code.or.Value","LBXVD2MS.Value.Description","LBXVD2MS.Count","LBXVD2MS.Cumulative","LBXVD2MS.Skip.to.Item"
"1.45 to 175","Range of Values",8700,8700,NA
".","Missing",1135,9835,NA
