"OCQ580.Code.or.Value","OCQ580.Value.Description","OCQ580.Count","OCQ580.Cumulative","OCQ580.Skip.to.Item"
"0 to 60","Range of Values",1761,1761,NA
"7777","Refused",0,1761,NA
"9999","Don't know",6,1767,NA
".","Missing",4779,6546,NA
