"DXXOFBMD.Code.or.Value","DXXOFBMD.Value.Description","DXXOFBMD.Count","DXXOFBMD.Cumulative","DXXOFBMD.Skip.to.Item"
"0.326 to 1.719","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
