"OSD030bd.Code.or.Value","OSD030bd.Value.Description","OSD030bd.Count","OSD030bd.Cumulative","OSD030bd.Skip.to.Item"
"7 to 68","Range of Values",9,9,NA
"80","80 or older",0,9,NA
"77777","Refused",0,9,NA
"99999","Don't know",2,11,NA
".","Missing",6207,6218,NA
