"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 2","Range of Values",10172,10172,NA
"77","Refused",1,10173,NA
"99","Don't know",2,10175,NA
".","Missing",0,10175,NA
