"DR2IFDFE.Code.or.Value","DR2IFDFE.Value.Description","DR2IFDFE.Count","DR2IFDFE.Cumulative","DR2IFDFE.Skip.to.Item"
"0 to 4460","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
