"CBQ698h.Code.or.Value","CBQ698h.Value.Description","CBQ698h.Count","CBQ698h.Cumulative","CBQ698h.Skip.to.Item"
"8","I won't know what to look for even if I read the labels",41,41,NA
".","Missing",2904,2945,NA
