"LBXDFSF.Code.or.Value","LBXDFSF.Value.Description","LBXDFSF.Count","LBXDFSF.Cumulative","LBXDFSF.Skip.to.Item"
"4 to 36.3","Range of Values",53,53,NA
".","Missing",1277,1330,NA
