"OPXDPHOT.Code.or.Value","OPXDPHOT.Value.Description","OPXDPHOT.Count","OPXDPHOT.Cumulative","OPXDPHOT.Skip.to.Item"
"0","No",1910,1910,NA
"2","Yes",566,2476,NA
"9","No photos of eye",28,2504,NA
".","Missing",430,2934,NA
