"OHD18LAS.Code.or.Value","OHD18LAS.Value.Description","OHD18LAS.Count","OHD18LAS.Cumulative","OHD18LAS.Skip.to.Item"
"0 to 11","Range of Values",1345,1345,NA
"99","Calculation cannot be determined",479,1824,NA
".","Missing",4934,6758,NA
