"RFXT035.Code.or.Value","RFXT035.Value.Description","RFXT035.Count","RFXT035.Cumulative","RFXT035.Skip.to.Item"
"292 to 301","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
