"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","At or above the detection limit",238,238,NA
"1","Below lower detection limit",9,247,NA
".","Missing",17,264,NA
