"CVDESVO2.Code.or.Value","CVDESVO2.Value.Description","CVDESVO2.Count","CVDESVO2.Cumulative","CVDESVO2.Skip.to.Item"
"18.23 to 112.4","Range of Values",2954,2954,NA
".","Missing",2198,5152,NA
