"DR2TVK.Code.or.Value","DR2TVK.Value.Description","DR2TVK.Count","DR2TVK.Cumulative","DR2TVK.Skip.to.Item"
"0 to 4883","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
