"LBXMIRLA.Code.or.Value","LBXMIRLA.Value.Description","LBXMIRLA.Count","LBXMIRLA.Cumulative","LBXMIRLA.Skip.to.Item"
"1.1 to 2960","Range of Values",2257,2257,NA
".","Missing",290,2547,NA
