"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.02 to 3000","Range of Values",1034,1034,NA
".","Missing",7235,8269,NA
