"MGAPHAND.Code.or.Value","MGAPHAND.Value.Description","MGAPHAND.Count","MGAPHAND.Cumulative","MGAPHAND.Skip.to.Item"
"1","Right",3563,3563,NA
"2","Left",3614,7177,NA
".","Missing",644,7821,NA
