"URXDHD.Code.or.Value","URXDHD.Value.Description","URXDHD.Count","URXDHD.Cumulative","URXDHD.Skip.to.Item"
"0.0629 to 58.2","Range of Values",2562,2562,NA
".","Missing",132,2694,NA
