"DS2ITFAT.Code.or.Value","DS2ITFAT.Value.Description","DS2ITFAT.Count","DS2ITFAT.Cumulative","DS2ITFAT.Skip.to.Item"
"0.03 to 28","Range of Values",616,616,NA
".","Missing",5287,5903,NA
