"FSQ695.Code.or.Value","FSQ695.Value.Description","FSQ695.Count","FSQ695.Cumulative","FSQ695.Skip.to.Item"
"1 to 9","Range of Values",1558,1558,NA
"77","Refused",0,1558,NA
"99","Don't know",85,1643,NA
".","Missing",8532,10175,NA
