"DS2ICALC.Code.or.Value","DS2ICALC.Value.Description","DS2ICALC.Count","DS2ICALC.Cumulative","DS2ICALC.Skip.to.Item"
"2 to 3600","Range of Values",1938,1938,NA
".","Missing",3761,5699,NA
