"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",47,47,""
"2","No",716,763,"RHQ160"
"7","Refused",0,763,"RHQ160"
"9","Don't know",18,781,"RHQ160"
".","Missing",2703,3484,""
