"LBDHPELC.Code.or.Value","LBDHPELC.Value.Description","LBDHPELC.Count","LBDHPELC.Cumulative","LBDHPELC.Skip.to.Item"
"0","At or above the detection limit",1019,1019,NA
"1","Below lower detection limit",944,1963,NA
".","Missing",374,2337,NA
