"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"32.6 to 48","Range of Values",292,292,NA
".","Missing",9658,9950,NA
