"HID030C.Code.or.Value","HID030C.Value.Description","HID030C.Count","HID030C.Cumulative","HID030C.Skip.to.Item"
"1","Yes",1861,1861,NA
"2","No",7010,8871,NA
"7","Refused",9,8880,NA
"9","Don't know",55,8935,NA
".","Missing",2104,11039,NA
