"DSD128MM.Code.or.Value","DSD128MM.Value.Description","DSD128MM.Count","DSD128MM.Cumulative","DSD128MM.Skip.to.Item"
"47","HEADACHES AND DIZZINESS",7,7,NA
".","Missing",8262,8269,NA
