"MCQ240K.Code.or.Value","MCQ240K.Value.Description","MCQ240K.Count","MCQ240K.Cumulative","MCQ240K.Skip.to.Item"
"50 to 74","Range of Values",4,4,NA
"85","85 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9489,9493,NA
