"WBXA030.Code.or.Value","WBXA030.Value.Description","WBXA030.Count","WBXA030.Cumulative","WBXA030.Skip.to.Item"
"-4.1925 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
