"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1357,1357,""
"2","No",3932,5289,"DRD370U"
".","Missing",4049,9338,""
