"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",116,116,NA
"2","1 yr., less than 5 yrs.",341,457,NA
"3","5 yrs., less than 10 yrs.",359,816,NA
"4","10 yrs., less than 15 yrs.",256,1072,NA
"5","15 yrs., less than 20 yrs.",156,1228,NA
"6","20 yrs., less than 30 yrs.",252,1480,NA
"7","30 yrs., less than 40 yrs.",174,1654,NA
"8","40 yrs., less than 50 yrs.",120,1774,NA
"9","50 years or more",63,1837,NA
"77","Refused",34,1871,NA
"88","Could not determine",1,1872,NA
"99","Don't know",26,1898,NA
".","Missing",8067,9965,NA
