"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 8.399","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
