"PFQ061G.Code.or.Value","PFQ061G.Value.Description","PFQ061G.Count","PFQ061G.Cumulative","PFQ061G.Skip.to.Item"
"1","No difficulty",1759,1759,NA
"2","Some difficulty",169,1928,NA
"3","Much difficulty",39,1967,NA
"4","Unable to do",47,2014,NA
"5","Do not do this activity",139,2153,NA
"7","Refused",0,2153,NA
"9","Don't know",0,2153,NA
".","Missing",7669,9822,NA
