"WHQ510A.Code.or.Value","WHQ510A.Value.Description","WHQ510A.Count","WHQ510A.Cumulative","WHQ510A.Skip.to.Item"
"10","I want to look better",179,179,NA
"77","Refused",0,179,NA
"99","Don't know",4,183,NA
".","Missing",1285,1468,NA
