"URDDCBLC.Code.or.Value","URDDCBLC.Value.Description","URDDCBLC.Count","URDDCBLC.Cumulative","URDDCBLC.Skip.to.Item"
"0","At or above the detection limit",2561,2561,NA
"1","Below lower detection limit",125,2686,NA
".","Missing",91,2777,NA
