"OHD29LAM.Code.or.Value","OHD29LAM.Value.Description","OHD29LAM.Count","OHD29LAM.Cumulative","OHD29LAM.Skip.to.Item"
"0 to 9","Range of Values",2248,2248,NA
"99","Calculation cannot be determined",309,2557,NA
".","Missing",4161,6718,NA
